symbol,timeframe,bars,start,end,days,start_price,end_price,bh_return_pct,bar_vol_pct,ann_vol_pct,regime,hurst,skewness,kurtosis
OIL,30m,4000,2022-01-01,2022-03-25,83.3,197.7038183686169,277.15965296104,40.19,0.7146,94.59,Bullish,0.554,-0.018,-0.133
OIL,3h,4000,2022-01-01,2023-05-15,499.9,198.9441745909707,531.0228251892642,166.92,0.7163,38.71,Bullish,0.552,0.114,0.029
OIL,4h,4000,2022-01-01,2023-10-29,666.5,200.4998766637159,462.8457664559515,130.85,0.7088,33.17,Bullish,0.553,0.087,0.048
OIL,5m,4000,2022-01-01,2022-01-14,13.9,197.9518723300946,219.3699101347539,10.82,0.7221,234.15,Bullish,0.553,0.07,-0.053
SOL,15m,4000,2022-01-01,2022-02-11,41.7,766.662641977243,672.2454826925741,-12.32,1.4951,279.91,Bearish,0.554,0.11,0.006
SOL,1h,4000,2022-01-01,2022-06-16,166.6,775.5932021138026,240.9051523324347,-68.94,1.4881,139.29,Bearish,0.556,-0.014,0.151
SOL,2h,4000,2022-01-01,2022-11-30,333.2,761.4378867205061,389.8886775881677,-48.8,1.4698,97.29,Bearish,0.556,0.064,0.115
SOL,30m,4000,2022-01-01,2022-03-25,83.3,790.6823457103928,160.1317557046866,-79.75,1.5046,199.18,Bearish,0.557,0.052,-0.017
SOL,3h,4000,2022-01-01,2023-05-15,499.9,785.4032961638529,244.5608697288774,-68.86,1.4888,80.46,Bearish,0.561,0.047,0.229
SOL,4h,4000,2022-01-01,2023-10-29,666.5,764.2170659789099,386.9026342595553,-49.37,1.4674,68.68,Bearish,0.554,0.034,-0.066
SOL,5m,4000,2022-01-01,2022-01-14,13.9,785.4198660280019,518.4011612970083,-34.0,1.495,484.78,Bearish,0.557,0.014,-0.038
TSLA,15m,4000,2022-01-01,2022-02-11,41.7,487.7663245166851,1588.252072538677,225.62,1.5299,286.41,Bullish,0.551,0.102,0.255
TSLA,1h,4000,2022-01-01,2022-06-16,166.6,486.1180229999007,898.3042472004503,84.79,1.5685,146.82,Bullish,0.553,0.073,0.016
TSLA,2h,4000,2022-01-01,2022-11-30,333.2,477.0952539734174,900.8674652303193,88.82,1.5376,101.78,Bullish,0.554,0.054,0.035
TSLA,30m,4000,2022-01-01,2022-03-25,83.3,486.5260595371458,10553.38142886182,2069.13,1.5503,205.22,Bullish,0.553,0.017,-0.076
TSLA,3h,4000,2022-01-01,2023-05-15,499.9,482.9067220043686,453.2599762263226,-6.14,1.5463,83.57,Sideways,0.553,0.015,-0.045
TSLA,4h,4000,2022-01-01,2023-10-29,666.5,482.1039249402008,920.6661143732787,90.97,1.5072,70.54,Bullish,0.549,0.073,0.019
TSLA,5m,4000,2022-01-01,2022-01-14,13.9,490.7326776281,6007.965935682075,1124.28,1.5349,497.71,Bullish,0.554,0.094,0.045
XAG,15m,4000,2022-01-01,2022-02-11,41.7,1692.700123257467,4052.797052996234,139.43,1.1752,220.01,Bullish,0.559,0.089,-0.071
XAG,1h,4000,2022-01-01,2022-06-16,166.6,1660.976064227726,4883.781064675495,194.03,1.1494,107.59,Bullish,0.559,0.04,0.138
XAG,2h,4000,2022-01-01,2022-11-30,333.2,1680.997735986571,3712.061611638627,120.82,1.1545,76.42,Bullish,0.552,-0.033,0.043
XAG,30m,4000,2022-01-01,2022-03-25,83.3,1692.837387989701,5176.300417290933,205.78,1.1612,153.71,Bullish,0.551,0.043,-0.051
XAG,3h,4000,2022-01-01,2023-05-15,499.9,1699.768213248028,15202.07325185051,794.36,1.1627,62.84,Bullish,0.555,-0.012,0.101
XAG,4h,4000,2022-01-01,2023-10-29,666.5,1668.872489362131,5898.774182409039,253.46,1.1829,55.36,Bullish,0.554,0.057,-0.008
XAG,5m,4000,2022-01-01,2022-01-14,13.9,1704.422122287509,6679.132328515555,291.87,1.1514,373.35,Bullish,0.555,0.045,-0.077
XAU,15m,4000,2022-01-01,2022-02-11,41.7,455.0718955858861,446.8634792323368,-1.8,1.1721,219.43,Sideways,0.559,0.041,0.046
XAU,1h,4000,2022-01-01,2022-06-16,166.6,476.5615017619684,269.773755748453,-43.39,1.2053,112.83,Bearish,0.555,0.005,-0.065
XAU,2h,4000,2022-01-01,2022-11-30,333.2,463.9729424029953,317.4165511201354,-31.59,1.1863,78.52,Bearish,0.557,0.116,-0.008
XAU,30m,4000,2022-01-01,2022-03-25,83.3,457.5419044037284,442.9908201356669,-3.18,1.1917,157.76,Sideways,0.553,0.095,-0.044
XAU,3h,4000,2022-01-01,2023-05-15,499.9,464.7681983386344,847.2133033155814,82.29,1.1938,64.52,Bullish,0.554,0.107,0.01
XAU,4h,4000,2022-01-01,2023-10-29,666.5,457.7614724641872,2189.957552405971,378.41,1.19,55.7,Bullish,0.554,0.089,0.176
XAU,5m,4000,2022-01-01,2022-01-14,13.9,453.7242899832235,510.6348218353361,12.54,1.199,388.8,Bullish,0.556,0.005,0.005
XRP,15m,4000,2022-01-01,2022-02-11,41.7,1441.80276297899,2204.782037075011,52.92,1.2604,235.97,Bullish,0.557,0.049,-0.029
XRP,1h,4000,2022-01-01,2022-06-16,166.6,1450.456072041231,762.2296077996164,-47.45,1.264,118.32,Bearish,0.562,0.078,0.07
XRP,2h,4000,2022-01-01,2022-11-30,333.2,1420.150491242326,1283.23114351874,-9.64,1.2468,82.53,Sideways,0.553,-0.014,-0.067
XRP,30m,4000,2022-01-01,2022-03-25,83.3,1444.285931916805,3391.007001408049,134.79,1.2565,166.33,Bullish,0.554,0.016,0.097
XRP,3h,4000,2022-01-01,2023-05-15,499.9,1433.194265108877,555.892947963843,-61.21,1.2486,67.48,Bearish,0.557,0.103,0.137
XRP,4h,4000,2022-01-01,2023-10-29,666.5,1411.54596572185,1957.29520193115,38.66,1.2733,59.59,Bullish,0.556,0.056,0.008
XRP,5m,4000,2022-01-01,2022-01-14,13.9,1401.70353309383,1303.537575326889,-7.0,1.2675,411.02,Sideways,0.554,0.107,0.117
